Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au Client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie,Justification,Commentaires,Date de prise en compte,Date de finalisation,Delais traitement,Statut,Impact financier,Catégorisée par
ANNECY MG,MO2814,Monoprix,RL,Electricité,26,6, ,0,ZN,Mi-saison,45,2023-06-25,2023-06-28,75,30,7,3,630,Récurrent,0.6666666666666666,Nuit,Impact Client,Eclairage,Problème alarme, ,,,,,58.94028,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,26,6, ,0,ZN,Mi-saison,45,2023-06-28,2023-07-01,50,5,7,3,105,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,9.82338,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,26,6, ,0,ZN,Mi-saison,125,2023-06-25,2023-06-26,300,175,2,1,350,Récurrent,1.4,Nuit,Impact Client,Changement de comportement,Ouverture prolongée, ,,,,,32.7446,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,26,6, ,0,ZN,Mi-saison,125,2023-06-26,2023-06-27,245,120,1,1,120,Récurrent,0.96,Nuit,Impact Client,Changement de comportement,Ouverture avancée, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,24,6, ,0,AE,Mi-saison,70,2023-06-11,2023-06-12,90,20,6,1,120,Récurrent,0.2857142857142857,Nuit,A définir,Investigation en cours,Investigation en cours, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,24,6, ,0,AE,Mi-saison,70,2023-06-12,2023-06-13,95,25,6,1,150,Récurrent,0.35714285714285715,Nuit,A définir,Investigation en cours,Investigation en cours, ,,,,,14.0334,Rawa
SABLONS,MO0157,SES8,RL,Electricité,24,6, ,0,AE,Mi-saison,70,2023-06-13,2023-06-16,185,115,6,3,2070,Récurrent,1.6428571428571428,Nuit,Impact Client,Eclairage,éclairage en marche forcée sur GTC, ,,,,,193.66092,Rawa
SABLONS,MO0157,SES8,RL,Electricité,24,6, ,0,AE,Mi-saison,70,2023-06-16,2023-06-17,175,105,3,1,315,Récurrent,1.5,Nuit,Impact Client,Changement de comportement,Ouverture prolongée, ,,,,,29.47014,Rawa
SABLONS,MO0157,SES8,RL,Electricité,25,6, ,0,AE,Mi-saison,70,2023-06-18,2023-06-22,130,60,6,4,1440,Récurrent,0.8571428571428571,Nuit,Impact client,Froid, Paramétres centrales Froid déréglés, ,,,,,134.72064,Rawa
SABLONS,MO0157,SES8,RL,Electricité,25,6, ,0,AE,Mi-saison,70,2023-06-22,2023-06-25,125,55,6,3,990,Récurrent,0.7857142857142857,Nuit,Impact client,Froid, Paramétres centrales Froid déréglés, ,,,,,92.62044,Rawa
SABLONS,MO0157,SES8,RL,Electricité,26,6, ,0,AE,Mi-saison,70,2023-06-25,2023-06-28,125,55,6,3,990,Récurrent,0.7857142857142857,Nuit,Impact client,Froid, Paramétres centrales Froid déréglés,,,,,,92.62044,Rawa
SABLONS,MO0157,SES8,RL,Electricité,26,6, ,0,AE,Mi-saison,70,2023-06-29,2023-07-01,115,45,6,2,540,Récurrent,0.6428571428571429,Nuit,Impact client,Froid, Paramétres centrales Froid déréglés,,,,,,50.52024,Rawa
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-05,2023-06-11,110,10,5,6,300,Récurrent,0.1,Nuit,Impact Client,Froid,Effet température centrales froid, ,2023-06-06,,50.0,,28.0668,Rawa
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-11,2023-06-18,115,15,5,7,525,Récurrent,0.15,Nuit,Impact Client,Froid,Effet température centrales froid,,2023-06-12,,44.0,,49.1169,Rawa
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-01,2023-06-04,120,20,5,3,300,Récurrent,0.2,Nuit,Impact Client,Froid,Effet température centrales froid, ,2023-06-02,,54.0,,28.0668,Rawa
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-18,2023-06-25,120,20,5,7,700,Récurrent,0.2,Nuit,Impact Client,Froid,Effet température centrales froid,,2023-06-19,,37.0,,65.4892,Rawa
AIX EST,CS625,SES,DM,Electricité,26,6, ,0,HH,Eté,100,2023-06-25,2023-07-01,120,20,5,6,600,Récurrent,0.2,Nuit,Impact Client,Froid,Effet température centrales froid,,2023-06-26,,30.0,,56.1336,Rawa
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-04,2023-06-05,145,45,5,1,225,Récurrent,0.45,Nuit,Impact Client,Froid,Effet température centrales froid, ,2023-06-05,,51.0,,21.0501,Rawa
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-04,2023-06-11,165,65,9,2,1170,Récurrent,0.65,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-05,,51.0,,109.46052,Rawa
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-25,2023-06-25,175,75,9,1,675,Récurrent,0.75,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,2023-06-26,,30.0,,63.1503,Rawa
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-18,2023-06-18,200,100,9,1,900,Récurrent,1.0,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-19,,37.0,,84.2004,Rawa
CHAVILLE,CS528,SM CPE Lighting,-,Electricité,22,6, ,0,RC,Eté,55,2023-06-01,2023-06-04,55,0,5,3,0,Récurrent,0.0,Nuit,Impact Client,Multi-usage,Problème GTC,GTC INACCESSIBLE,2023-06-02,,54.0,,0.0,Rawa
CHAVILLE,CS528,SM CPE Lighting,-,Electricité,26,6, ,0,HH,Eté,55,2023-06-25,2023-07-01,60,5,5,6,150,Récurrent,0.09090909090909091,Nuit,Impact Client,Multi-usage,Problème GTC,PAS DE LIEN GTC,2023-06-26,,30.0,,14.0334,Rawa
CHAVILLE,CS528,SM CPE Lighting,-,Electricité,24,6, ,0,HH,Eté,55,2023-06-11,2023-06-18,65,10,5,7,350,Récurrent,0.18181818181818182,Nuit,Impact Client,Multi-usage,Problème GTC,PAS DE LIEN GTC,2023-06-12,,44.0,,32.7446,Rawa
CHAVILLE,CS528,SM CPE Lighting,-,Electricité,25,6, ,0,HH,Eté,55,2023-06-18,2023-06-25,65,10,5,7,350,Récurrent,0.18181818181818182,Nuit,Impact Client,Multi-usage,Problème GTC,PAS DE LIEN GTC,2023-06-19,,37.0,,32.7446,Rawa
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,23,6, ,0,RC,Eté,175,2023-06-04,2023-06-08,185,10,2,4,80,Récurrent,0.05714285714285714,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,2023-06-05,,51.0,,7.48448,Rawa
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,23,6, ,0,RC,Eté,175,2023-06-08,2023-06-11,185,10,4,3,120,Récurrent,0.05714285714285714,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,2023-06-09,,47.0,,11.22672,Rawa
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,22,6, ,0,RC,Eté,175,2023-06-04,2023-06-04,265,90,7,1,630,Récurrent,0.5142857142857142,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-05,,51.0,,58.94028,Rawa
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,25,6, ,0,RC,Eté,175,2023-06-25,2023-06-25,310,135,8,1,1080,Récurrent,0.7714285714285715,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-26,,30.0,,101.04048,DM
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,24,6, ,0,HH,Eté,175,2023-06-18,2023-06-18,290,115,8,1,920,Récurrent,0.6571428571428571,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-19,,37.0,,86.07152,Rawa
MARSEILLE CAILLOLS,CS855,SES,DM,Electricité,23,6, ,0,RC,Eté,175,2023-06-11,2023-06-11,310,135,7,1,945,Récurrent,0.7714285714285715,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,2023-06-12,,44.0,,88.41042,Rawa
