Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au Client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie,Justification,Commentaires,Date de prise en compte,Date de finalisation,Delais traitement,Statut,Impact financier,Catégorisée par
ANNECY MG,MO2814,Monoprix,RL,Electricité,14,4, ,0,ZN,Mi-saison,45,2023-04-09,2023-04-09,70,25,16,1,400,Récurrent,0.5555555555555556,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,37.4224,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,15,4, ,0,ZN,Mi-saison,45,2023-04-09,2023-04-10,50,5,5,1,25,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,2.3389,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,15,4, ,0,ZN,Mi-saison,45,2023-04-10,2023-04-12,60,15,7,2,210,Récurrent,0.3333333333333333,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,19.64676,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,15,4, ,0,ZN,Mi-saison,45,2023-04-12,2023-04-13,50,5,6,1,30,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,2.80668,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,15,4, ,0,ZN,Mi-saison,45,2023-04-13,2023-04-16,50,5,4,3,60,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,15,4, ,0,ZN,Mi-saison,45,2023-04-16,2023-04-16,70,25,16,1,400,Récurrent,0.5555555555555556,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,37.4224,Rawa
SABLONS,MO0157,SES8,RL,Electricité,14,4, ,0,AE,Mi-saison,70,2023-04-05,2023-04-07,80,10,6,2,120,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,14,4, ,0,AE,Mi-saison,70,2023-04-07,2023-04-08,90,20,6,1,120,Récurrent,0.2857142857142857,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-09,2023-04-10,80,10,6,1,60,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-10,2023-04-11,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,8.42004,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-11,2023-04-12,80,10,6,1,60,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-12,2023-04-14,80,10,3,2,60,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-14,2023-04-15,85,15,6,1,90,Récurrent,0.21428571428571427,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,8.42004,Rawa
SABLONS,MO0157,SES8,RL,Electricité,15,4, ,0,AE,Mi-saison,70,2023-04-15,2023-04-16,80,10,6,1,60,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,16,4, ,0,ZN,Mi-saison,45,2023-04-16,2023-04-23,50,5,7,7,245,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,22.92122,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,16,4, ,0,ZN,Mi-saison,45,2023-04-23,2023-04-23,75,30,16,1,480,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,17,4, ,0,ZN,Mi-saison,45,2023-04-23,2023-04-30,50,5,7,7,245,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,22.92122,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,18,4, ,0,ZN,Mi-saison,45,2023-04-30,2023-05-01,50,5,7,1,35,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,3.27446,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,17,4, ,0,ZN,Mi-saison,125,2023-04-24,2023-04-25,185,60,1,1,60,Récurrent,0.48,Nuit,Impact Client,Eclairage,Forçage éclairage sur site, ,,,,,5.61336,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,17,4, ,0,ZN,Mi-saison,45,2023-04-30,2023-04-30,75,30,16,1,480,Récurrent,0.6666666666666666,Dim,Impact Client,changement de comportement,Ouverture dimanche, ,,,,,44.90688,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,17,4, ,0,ZN,Mi-saison,125,2023-04-27,2023-04-29,150,25,7,2,350,Récurrent,0.2,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,32.7446,Rawa
SABLONS,MO0157,SES8,RL,Electricité,16,4, ,0,AE,Mi-saison,70,2023-04-16,2023-04-18,80,10,6,2,120,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,16,4, ,0,AE,Mi-saison,70,2023-04-19,2023-04-20,80,10,3,1,30,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,2.80668,Rawa
SABLONS,MO0157,SES8,RL,Electricité,16,4, ,0,AE,Mi-saison,70,2023-04-22,2023-04-23,80,10,6,1,60,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,5.61336,Rawa
SABLONS,MO0157,SES8,RL,Electricité,17,4, ,0,AE,Mi-saison,70,2023-04-23,2023-04-27,80,10,3,4,120,Récurrent,0.14285714285714285,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,11.22672,Rawa
SABLONS,MO0157,SES8,RL,Electricité,17,4, ,0,AE,Mi-saison,70,2023-04-27,2023-04-30,85,15,6,3,270,Récurrent,0.21428571428571427,Nuit,Impact Client,CVC,Forçage CVC sur site, ,,,,,25.26012,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,18,5, ,0,ZN,Mi-saison,45,2023-05-01,2023-05-02,70,25,5,1,125,Récurrent,0.5555555555555556,Nuit,Impact Client,Changement de comportement,Ouverture prolongée, ,,,,,11.6945,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,18,5, ,0,ZN,Mi-saison,45,2023-05-01,2023-05-02,50,5,2,1,10,Récurrent,0.1111111111111111,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,0.93556,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,18,5, ,0,ZN,Mi-saison,45,2023-05-02,2023-05-07,55,10,8,5,400,Récurrent,0.2222222222222222,Nuit,Impact Client,Eclairage,Problème alarme,RAS sur GTC,,,,,37.4224,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,22,5, ,0,ZN,Mi-saison,125,2023-05-31,2023-06-01,245,120,7,1,840,Récurrent,0.96,Nuit,Impact GY,Multi-usage,Problème GTC,GTC inaccessible,,,,,78.58704,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,21,5, ,0,ZN,Mi-saison,125,2023-05-23,2023-05-28,145,20,7,5,700,Récurrent,0.16,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,65.4892,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,19,5, ,0,ZN,Mi-saison,125,2023-05-11,2023-05-12,220,95,7,1,665,Récurrent,0.76,Nuit,Impact Client,Eclairage,Eclairage en marche forcée sur GTC, ,,,,,62.21474,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,18,5, ,0,ZN,Mi-saison,125,2023-05-01,2023-05-07,140,15,7,6,630,Récurrent,0.12,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,58.94028,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,20,5, ,0,ZN,Mi-saison,125,2023-05-16,2023-05-21,140,15,7,5,525,Récurrent,0.12,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,49.1169,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,19,5, ,0,ZN,Mi-saison,125,2023-05-07,2023-05-11,145,20,6,4,480,Récurrent,0.16,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,44.90688,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,18,5, ,0,ZN,Mi-saison,45,2023-05-07,2023-05-07,75,30,15,1,450,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,42.1002,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,22,5, ,0,ZN,Mi-saison,125,2023-05-28,2023-05-31,145,20,7,3,420,Récurrent,0.16,Nuit,Impact GY,Multi-usage,Problème GTC,GTC inaccessible,,,,,39.29352,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,20,5, ,0,ZN,Mi-saison,125,2023-05-15,2023-05-16,190,65,6,1,390,Récurrent,0.52,Nuit,Impact Client,Eclairage ,Eclairage en marche forcée sur GTC, ,,,,,36.48684,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,19,5, ,0,ZN,Mi-saison,45,2023-05-11,2023-05-14,60,15,7,3,315,Récurrent,0.3333333333333333,Nuit,Impact Client,Eclairage,Problème alarme,RAS sur GTC,,,,,29.47014,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,19,5, ,0,ZN,Mi-saison,125,2023-05-12,2023-05-14,145,20,7,2,280,Récurrent,0.16,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,26.19568,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,19,5, ,0,ZN,Mi-saison,45,2023-05-14,2023-05-14,75,30,16,1,480,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement,Ouverture dimanche, ,,,,,44.90688,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,21,5, ,0,ZN,Mi-saison,125,2023-05-28,2023-05-28,150,25,8,1,200,Récurrent,0.2,Dim,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,18.7112,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,20,5, ,0,ZN,Mi-saison,45,2023-05-14,2023-05-21,60,15,7,7,735,Récurrent,0.3333333333333333,Nuit,Impact Client,Eclairage,Problème alarme,,,,,,68.76366,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,19,5, ,0,ZN,Mi-saison,125,2023-05-14,2023-05-14,145,20,8,1,160,Récurrent,0.16,Dim,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,14.96896,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,20,5, ,0,ZN,Mi-saison,125,2023-05-21,2023-05-21,145,20,8,1,160,Récurrent,0.16,Dim,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,14.96896,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,18,5, ,0,ZN,Mi-saison,125,2023-05-07,2023-05-07,140,15,8,1,120,Récurrent,0.12,Dim,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,11.22672,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,21,5, ,0,ZN,Mi-saison,125,2023-05-22,2023-05-23,145,20,6,1,120,Récurrent,0.16,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,11.22672,Rawa
ANNECY MG,MO2814,Monoprix,RL,Electricité,20,5, ,0,ZN,Mi-saison,45,2023-05-21,2023-05-21,80,35,16,1,560,Récurrent,0.7777777777777778,Dim,Impact Client,Changement de comportement,Ouverture dimanche,,,,,,52.39136,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,20,5, ,0,ZN,Mi-saison,125,2023-05-14,2023-05-15,140,15,7,1,105,Récurrent,0.12,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,9.82338,Rawa
PORTE DE CHATILLON,MO0193,Monoprix,AL,Electricité,21,5, ,0,ZN,Mi-saison,125,2023-05-21,2023-05-22,140,15,7,1,105,Récurrent,0.12,Nuit,Impact Client,CVC,CVC en marche forcée sur GTC, ,,,,,9.82338,Rawa
