Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-05,2023-06-11,110,10.0,5.0,6,300.0,Récurrent,0.1,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-11,2023-06-18,115,15.0,5.0,7,525.0,Récurrent,0.15,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-01,2023-06-04,120,20.0,5.0,3,300.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-18,2023-06-25,120,20.0,5.0,7,700.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,26,6, ,0,HH,Eté,100,2023-06-25,2023-07-01,120,20.0,5.0,6,600.0,Récurrent,0.2,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,23,6, ,0,RC,Eté,100,2023-06-04,2023-06-05,145,45.0,5.0,1,225.0,Récurrent,0.45,Nuit,Impact Client,Froid
AIX EST,CS625,SES,DM,Electricité,22,6, ,0,RC,Eté,100,2023-06-04,2023-06-11,165,65.0,9.0,2,1170.0,Récurrent,0.65,Dim,Impact Client,Changement de comportement
AIX EST,CS625,SES,DM,Electricité,25,6, ,0,HH,Eté,100,2023-06-25,2023-06-25,175,75.0,9.0,1,675.0,Récurrent,0.75,Dim,Impact Client,Changement de comportement
AIX EST,CS625,SES,DM,Electricité,24,6, ,0,HH,Eté,100,2023-06-18,2023-06-18,200,100.0,9.0,1,900.0,Récurrent,1,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,24,6, ,0,HH,Eté,80,2023-06-18,2023-06-18,85,5.0,7.0,1,35.0,Récurrent,0.0625,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,26,6, ,0,HH,Eté,80,2023-06-25,2023-06-26,85,5.0,1.0,1,5.0,Récurrent,0.0625,Nuit,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,23,6, ,0,RC,Eté,80,2023-06-11,2023-06-11,90,10.0,6.0,1,60.0,Récurrent,0.125,Dim,Impact Client,Changement de comportement
ANDERNOS,CS697,SES,EE,Electricité,25,6, ,0,HH,Eté,80,2023-06-25,2023-06-25,95,15.0,8.0,1,120.0,Récurrent,0.1875,Dim,Impact Client,Changement de comportement
ANDRESY,CS736,SES,EE,Electricité,22,6, ,0,RC,Eté,55,2023-06-04,2023-06-04,85,30.0,8.0,1,240.0,Récurrent,0.5454545454545454,Dim,Impact Client,Changement de comportement
ANDRESY,CS736,SES,EE,Electricité,24,6, ,0,HH,Eté,55,2023-06-18,2023-06-18,85,30.0,9.0,1,270.0,Récurrent,0.5454545454545454,Dim,Impact Client,Changement de comportement
ANDRESY,CS736,SES,EE,Electricité,23,6, ,0,RC,Eté,55,2023-06-11,2023-06-11,90,35.0,8.0,1,280.0,Récurrent,0.6363636363636364,Dim,Impact Client,Changement de comportement
ANDRESY,CS736,SES,EE,Electricité,25,6, ,0,HH,Eté,55,2023-06-25,2023-06-25,100,45.0,8.0,1,360.0,Récurrent,0.8181818181818182,Dim,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,26,6, ,0,HH,Eté,70,2023-06-25,2023-07-01,75,5.0,7.0,6,210.0,Récurrent,0.07142857142857142,Nuit,Impact Client,Eclairage
ANNECY LE VIEUX,CS916,SES,DM,Electricité,22,6, ,0,RC,Eté,70,2023-06-02,2023-06-04,90,20.0,1.0,2,40.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,25,6, ,0,HH,Eté,70,2023-06-18,2023-06-19,95,25.0,7.0,1,175.0,Récurrent,0.35714285714285715,Nuit,Impact Client,Eclairage
ANNECY LE VIEUX,CS916,SES,DM,Electricité,22,6, ,0,RC,Eté,70,2023-06-04,2023-06-04,95,25.0,14.0,1,350.0,Récurrent,0.35714285714285715,Dim,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,23,6, ,0,RC,Eté,70,2023-06-11,2023-06-11,95,25.0,13.0,1,325.0,Récurrent,0.35714285714285715,Dim,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,23,6, ,0,RC,Eté,70,2023-06-09,2023-06-11,95,25.0,1.0,2,50.0,Récurrent,0.35714285714285715,Nuit,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,24,6, ,0,HH,Eté,70,2023-06-16,2023-06-18,95,25.0,1.0,2,50.0,Récurrent,0.35714285714285715,Nuit,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,25,6, ,0,HH,Eté,70,2023-06-23,2023-06-25,95,25.0,1.0,2,50.0,Récurrent,0.35714285714285715,Nuit,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,24,6, ,0,HH,Eté,70,2023-06-18,2023-06-18,100,30.0,15.0,1,450.0,Récurrent,0.42857142857142855,Dim,Impact Client,Changement de comportement
ANNECY LE VIEUX,CS916,SES,DM,Electricité,25,6, ,0,HH,Eté,70,2023-06-25,2023-06-25,100,30.0,15.0,1,450.0,Récurrent,0.42857142857142855,Dim,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,22,6, ,0,RC,Eté,65,2023-06-04,2023-06-04,90,25.0,8.0,1,200.0,Récurrent,0.38461538461538464,Dim,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,22,6, ,0,RC,Eté,65,2023-06-01,2023-06-04,90,25.0,3.0,3,225.0,Récurrent,0.38461538461538464,Nuit,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,24,6, ,0,HH,Eté,65,2023-06-11,2023-06-18,90,25.0,3.0,7,525.0,Récurrent,0.38461538461538464,Nuit,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,23,6, ,0,RC,Eté,65,2023-06-04,2023-06-11,95,30.0,3.0,7,630.0,Récurrent,0.46153846153846156,Nuit,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,25,6, ,0,HH,Eté,65,2023-06-18,2023-06-25,95,30.0,3.0,7,630.0,Récurrent,0.46153846153846156,Nuit,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,26,6, ,0,HH,Eté,65,2023-06-25,2023-06-30,95,30.0,3.0,5,450.0,Récurrent,0.46153846153846156,Nuit,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,23,6, ,0,RC,Eté,65,2023-06-11,2023-06-11,100,35.0,8.0,1,280.0,Récurrent,0.5384615384615384,Dim,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,24,6, ,0,HH,Eté,65,2023-06-18,2023-06-18,100,35.0,7.0,1,245.0,Récurrent,0.5384615384615384,Dim,Impact Client,Changement de comportement
ANNECY PARMELAN,CS585,SES,DM,Electricité,25,6, ,0,HH,Eté,65,2023-06-25,2023-06-25,100,35.0,8.0,1,280.0,Récurrent,0.5384615384615384,Dim,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,0,2023-06-01,2023-06-04,95,95.0,3.0,3,855.0,Récurrent,-,Nuit,Impact Client,Eclairage
ARC LES GRAY,CS552,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,0,2023-06-13,2023-06-18,100,100.0,4.0,5,2000.0,Récurrent,-,Nuit,Impact Client,Eclairage
ARC LES GRAY,CS552,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,0,2023-06-25,2023-06-26,100,100.0,1.0,1,100.0,Récurrent,-,Nuit,Impact Client,Eclairage
ARC LES GRAY,CS552,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,0,2023-06-26,2023-07-01,100,100.0,4.0,5,2000.0,Récurrent,-,Nuit,Impact Client,Eclairage
ARC LES GRAY,CS552,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,0,2023-06-18,2023-06-25,105,105.0,4.0,7,2940.0,Récurrent,-,Nuit,Impact Client,Eclairage
ARC LES GRAY,CS552,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,0,2023-06-20,2023-06-22,125,125.0,1.0,2,250.0,Récurrent,-,Nuit,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,0,2023-06-25,2023-06-26,125,125.0,3.0,1,375.0,Récurrent,-,Nuit,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,0,2023-06-29,2023-06-30,125,125.0,1.0,1,125.0,Récurrent,-,Nuit,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,0,2023-06-04,2023-06-04,130,130.0,7.0,1,910.0,Récurrent,-,Dim,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,23,6, ,0,RC,Eté,0,2023-06-11,2023-06-11,145,145.0,10.0,1,1450.0,Récurrent,-,Dim,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,0,2023-06-18,2023-06-18,155,155.0,9.0,1,1395.0,Récurrent,-,Dim,Impact Client,Changement de comportement
ARC LES GRAY,CS552,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,0,2023-06-25,2023-06-25,155,155.0,13.0,1,2015.0,Récurrent,-,Dim,Impact Client,Changement de comportement
ARCACHON MERAN,CS796,SES,DM,Electricité,22,6, ,0,RC,Eté,80,2023-06-01,2023-06-04,85,5.0,1.0,3,15.0,Récurrent,0.0625,Nuit,Impact Client,Eclairage
ARCACHON MERAN,CS796,SES,DM,Electricité,23,6, ,0,RC,Eté,80,2023-06-04,2023-06-06,85,5.0,1.0,2,10.0,Récurrent,0.0625,Nuit,Impact Client,Eclairage
ARCACHON MERAN,CS796,SES,DM,Electricité,23,6, ,0,RC,Eté,80,2023-06-09,2023-06-11,85,5.0,5.0,2,50.0,Récurrent,0.0625,Nuit,Impact Client,Eclairage
ARCACHON MERAN,CS796,SES,DM,Electricité,23,6, ,0,RC,Eté,80,2023-06-06,2023-06-07,90,10.0,3.0,1,30.0,Récurrent,0.125,Nuit,Impact Client,Eclairage
ARCACHON MERAN,CS796,SES,DM,Electricité,23,6, ,0,RC,Eté,80,2023-06-07,2023-06-08,90,10.0,1.0,1,10.0,Récurrent,0.125,Nuit,Impact Client,Eclairage
ARCACHON MERAN,CS796,SES,DM,Electricité,23,6, ,0,RC,Eté,80,2023-06-08,2023-06-09,95,15.0,3.0,1,45.0,Récurrent,0.1875,Nuit,Impact Client,Eclairage
ARGENTAT,CS729,SES,EE,Electricité,26,6, ,0,HH,Eté,65,2023-06-25,2023-07-01,70,5.0,7.0,6,210.0,Récurrent,0.07692307692307693,Nuit,Impact Client,Eclairage
ARGENTAT,CS729,SES,EE,Electricité,24,6, ,0,HH,Eté,65,2023-06-18,2023-06-18,95,30.0,7.0,1,210.0,Récurrent,0.46153846153846156,Dim,Impact Client,Changement de comportement
ARGENTAT,CS729,SES,EE,Electricité,22,6, ,0,RC,Eté,65,2023-06-04,2023-06-04,100,35.0,8.0,1,280.0,Récurrent,0.5384615384615384,Dim,Impact Client,Changement de comportement
ARGENTAT,CS729,SES,EE,Electricité,23,6, ,0,RC,Eté,65,2023-06-11,2023-06-11,110,45.0,6.0,1,270.0,Récurrent,0.6923076923076923,Dim,Impact Client,Changement de comportement
ARGENTAT,CS729,SES,EE,Electricité,25,6, ,0,HH,Eté,65,2023-06-25,2023-06-25,125,60.0,7.0,1,420.0,Récurrent,0.9230769230769231,Dim,Impact Client,Changement de comportement
ASNIERES METRO,CS793,SES,EE,Electricité,22,6, ,0,RC,Eté,105,2023-06-04,2023-06-04,145,40.0,11.0,1,440.0,Récurrent,0.38095238095238093,Dim,Impact Client,Eclairage
ASNIERES METRO,CS793,SES,EE,Electricité,24,6, ,0,HH,Eté,105,2023-06-11,2023-06-18,145,40.0,1.0,7,280.0,Récurrent,0.38095238095238093,Nuit,Impact Client,Changement de comportement
ASNIERES METRO,CS793,SES,EE,Electricité,25,6, ,0,HH,Eté,105,2023-06-18,2023-06-25,145,40.0,1.0,7,280.0,Récurrent,0.38095238095238093,Nuit,Impact Client,Changement de comportement
ASNIERES METRO,CS793,SES,EE,Electricité,26,6, ,0,HH,Eté,105,2023-06-25,2023-07-01,145,40.0,1.0,6,240.0,Récurrent,0.38095238095238093,Nuit,Impact Client,Changement de comportement
ASNIERES METRO,CS793,SES,EE,Electricité,25,6, ,0,HH,Eté,105,2023-06-25,2023-06-25,150,45.0,11.0,1,495.0,Récurrent,0.42857142857142855,Dim,Impact Client,Changement de comportement
ASNIERES METRO,CS793,SES,EE,Electricité,22,6, ,0,RC,Eté,105,2023-06-01,2023-06-04,155,50.0,2.0,3,300.0,Récurrent,0.47619047619047616,Nuit,Impact Client,Eclairage
ASNIERES METRO,CS793,SES,EE,Electricité,22,6, ,0,RC,Eté,105,2023-06-01,2023-06-03,170,65.0,1.0,2,130.0,Récurrent,0.6190476190476191,Nuit,Impact Client,Changement de comportement
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,23,6, ,0,RC,Eté,105,2023-06-04,2023-06-07,120,15.0,1.0,3,45.0,Récurrent,0.14285714285714285,Nuit,Impact Client,Eclairage
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,22,6, ,0,RC,Eté,105,2023-06-01,2023-06-04,120,15.0,1.0,3,45.0,Récurrent,0.14285714285714285,Nuit,Impact Client,Changement de comportement
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,24,6, ,0,HH,Eté,105,2023-06-12,2023-06-18,135,30.0,1.0,6,180.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Changement de comportement
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,23,6, ,0,RC,Eté,105,2023-06-07,2023-06-09,135,30.0,1.0,2,60.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Changement de comportement
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,25,6, ,0,HH,Eté,105,2023-06-18,2023-06-25,135,30.0,1.0,7,210.0,Récurrent,0.2857142857142857,Nuit,Impact Client,Changement de comportement
AUBAGNE LE CHARREL,CS670,SES,DM,Electricité,26,6, ,0,HH,Eté,105,2023-06-25,2023-07-01,140,35.0,1.0,6,210.0,Récurrent,0.3333333333333333,Nuit,Impact Client,Changement de comportement
AUBAGNE PIN VERT,CS627,SES,DM,Electricité,22,6, ,0,HH,Eté,190,2023-06-01,2023-06-30,90,-100.0,6.0,30,-18000.0,Récurrent,-0.5263157894736842,Nuit,Impact Client,Changement de comportement
AUBENAS,CS155,SES,DM,Electricité,25,6, ,0,HH,Eté,55,2023-06-25,2023-06-25,75,20.0,14.0,1,280.0,Récurrent,0.36363636363636365,Dim,Impact Client,Changement de comportement
AUBENAS,CS155,SES,DM,Electricité,24,6, ,0,HH,Eté,55,2023-06-18,2023-06-18,80,25.0,6.0,1,150.0,Récurrent,0.45454545454545453,Dim,Impact Client,Changement de comportement
AUREC SUR LOIRE,CS504,SES,DM,Electricité,22,6, ,0,RC,Eté,55,2023-06-04,2023-06-04,85,30.0,7.0,1,210.0,Récurrent,0.5454545454545454,Dim,Impact Client,Changement de comportement
AUREC SUR LOIRE,CS504,SES,DM,Electricité,23,6, ,0,RC,Eté,55,2023-06-11,2023-06-11,90,35.0,7.0,1,245.0,Récurrent,0.6363636363636364,Dim,Impact Client,Changement de comportement
AUREC SUR LOIRE,CS504,SES,DM,Electricité,24,6, ,0,HH,Eté,55,2023-06-18,2023-06-18,90,35.0,8.0,1,280.0,Récurrent,0.6363636363636364,Dim,Impact Client,Changement de comportement
AUREC SUR LOIRE,CS504,SES,DM,Electricité,25,6, ,0,HH,Eté,55,2023-06-25,2023-06-25,90,35.0,7.0,1,245.0,Récurrent,0.6363636363636364,Dim,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-11,2023-06-12,75,5.0,1.0,1,5.0,Récurrent,0.07142857142857142,Nuit,Impact Client,CVC
AURIOL,CS632,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-12,2023-06-17,75,5.0,2.0,5,50.0,Récurrent,0.07142857142857142,Nuit,Impact Client,CVC
AURIOL,CS632,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-17,2023-06-18,75,5.0,5.0,1,25.0,Récurrent,0.07142857142857142,Nuit,Impact Client,CVC
AURIOL,CS632,SES,EE,Electricité,25,6, ,0,HH,Eté,70,2023-06-18,2023-06-25,75,5.0,5.0,7,175.0,Récurrent,0.07142857142857142,Nuit,Impact Client,CVC
AURIOL,CS632,SES,EE,Electricité,23,6, ,0,RC,Eté,70,2023-06-04,2023-06-05,95,25.0,2.0,1,50.0,Récurrent,0.35714285714285715,Nuit,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,23,6, ,0,RC,Eté,70,2023-06-06,2023-06-08,100,30.0,2.0,2,120.0,Récurrent,0.42857142857142855,Nuit,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,22,6, ,0,RC,Eté,70,2023-06-04,2023-06-04,105,35.0,9.0,1,315.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,23,6, ,0,RC,Eté,70,2023-06-11,2023-06-11,120,50.0,9.0,1,450.0,Récurrent,0.7142857142857143,Dim,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,24,6, ,0,HH,Eté,70,2023-06-18,2023-06-18,120,50.0,9.0,1,450.0,Récurrent,0.7142857142857143,Dim,Impact Client,Changement de comportement
AURIOL,CS632,SES,EE,Electricité,25,6, ,0,HH,Eté,70,2023-06-25,2023-06-25,125,55.0,9.0,1,495.0,Récurrent,0.7857142857142857,Dim,Impact Client,Changement de comportement
AVIGNON SAINT LAZARE,CS982,SES,DM,Electricité,24,6, ,0,HH,Eté,75,2023-06-11,2023-06-17,100,25.0,3.0,6,450.0,Récurrent,0.3333333333333333,Nuit,A définir,Investigation en cours
AVIGNON SAINT LAZARE,CS982,SES,DM,Electricité,24,6, ,0,HH,Eté,75,2023-06-17,2023-06-18,105,30.0,3.0,1,90.0,Récurrent,0.4,Nuit,A définir,Investigation en cours
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,22,6, ,0,RC,Eté,20,2023-06-01,2023-06-04,25,5.0,4.0,3,60.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,20,2023-06-11,2023-06-18,25,5.0,6.0,7,210.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,24,6, ,0,HH,Eté,20,2023-06-18,2023-06-18,25,5.0,8.0,1,40.0,Récurrent,0.25,Dim,Impact Client,Eclairage
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,20,2023-06-18,2023-06-25,25,5.0,7.0,7,245.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,26,6, ,0,HH,Eté,20,2023-06-25,2023-07-01,25,5.0,7.0,6,210.0,Récurrent,0.25,Nuit,Impact Client,Eclairage
BAGNERE DE LUCHON,CS467,Super Casino,DM,Electricité,25,6, ,0,HH,Eté,20,2023-06-25,2023-06-25,30,10.0,8.0,1,80.0,Récurrent,0.5,Dim,Impact Client,Eclairage
BANDOL LA PEYRIERE,CS268,SES,DM,Electricité,22,6, ,0,RC,Eté,40,2023-06-04,2023-06-04,50,10.0,6.0,1,60.0,Récurrent,0.25,Dim,Impact Client,Changement de comportement
BANDOL LA PEYRIERE,CS268,SES,DM,Electricité,23,6, ,0,RC,Eté,40,2023-06-11,2023-06-11,55,15.0,7.0,1,105.0,Récurrent,0.375,Dim,Impact Client,Changement de comportement
BANDOL LA PEYRIERE,CS268,SES,DM,Electricité,24,6, ,0,HH,Eté,40,2023-06-18,2023-06-18,55,15.0,6.0,1,90.0,Récurrent,0.375,Dim,Impact Client,Changement de comportement
BANDOL LA PEYRIERE,CS268,SES,DM,Electricité,25,6, ,0,HH,Eté,40,2023-06-25,2023-06-25,60,20.0,6.0,1,120.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
BAR LE DUC,CS785,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-11,2023-06-12,90,0.0,5.0,1,0.0,Récurrent,0,Nuit,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-13,2023-06-18,90,0.0,6.0,5,0.0,Récurrent,0,Nuit,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,26,6, ,0,HH,Eté,90,2023-06-25,2023-07-01,90,0.0,6.0,6,0.0,Récurrent,0,Nuit,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,22,6, ,0,RC,Eté,90,2023-06-01,2023-06-02,90,0.0,3.0,1,0.0,Récurrent,0,Nuit,Impact Client,Multi-usage
BAR LE DUC,CS785,Super Casino,EE,Electricité,22,6, ,0,RC,Eté,90,2023-06-03,2023-06-04,90,0.0,2.0,1,0.0,Récurrent,0,Nuit,Impact Client,Multi-usage
BAR LE DUC,CS785,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-18,2023-06-18,95,5.0,2.0,1,10.0,Récurrent,0.05555555555555555,Dim,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,25,6, ,0,HH,Eté,90,2023-06-18,2023-06-25,95,5.0,7.0,7,245.0,Récurrent,0.05555555555555555,Nuit,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,22,6, ,0,RC,Eté,90,2023-06-02,2023-06-03,100,10.0,7.0,1,70.0,Récurrent,0.1111111111111111,Nuit,Impact Client,Multi-usage
BAR LE DUC,CS785,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-12,2023-06-13,105,15.0,7.0,1,105.0,Récurrent,0.16666666666666666,Nuit,Impact Client,Eclairage
BAR LE DUC,CS785,Super Casino,EE,Electricité,22,6, ,0,RC,Eté,90,2023-06-04,2023-06-04,110,20.0,15.0,1,300.0,Récurrent,0.2222222222222222,Dim,Impact Client,Changement de comportement
BAR LE DUC,CS785,Super Casino,EE,Electricité,24,6, ,0,HH,Eté,90,2023-06-18,2023-06-18,125,35.0,14.0,1,490.0,Récurrent,0.3888888888888889,Dim,Impact Client,Changement de comportement
BAR LE DUC,CS785,Super Casino,EE,Electricité,25,6, ,0,HH,Eté,90,2023-06-25,2023-06-25,125,35.0,15.0,1,525.0,Récurrent,0.3888888888888889,Dim,Impact Client,Changement de comportement
BARCELONNETTE,CS885,SES,DM,Electricité,22,6, ,0,RC,Eté,60,2023-06-04,2023-06-04,80,20.0,7.0,1,140.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
BARCELONNETTE,CS885,SES,DM,Electricité,23,6, ,0,RC,Eté,60,2023-06-11,2023-06-11,80,20.0,7.0,1,140.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
BARCELONNETTE,CS885,SES,DM,Electricité,24,6, ,0,HH,Eté,60,2023-06-18,2023-06-18,85,25.0,7.0,1,175.0,Récurrent,0.4166666666666667,Dim,Impact Client,Changement de comportement
BARCELONNETTE,CS885,SES,DM,Electricité,25,6, ,0,HH,Eté,60,2023-06-25,2023-06-25,100,40.0,7.0,1,280.0,Récurrent,0.6666666666666666,Dim,Impact Client,Changement de comportement
BEAUNE CENTRE VILLE,CS546,SES,DM,Electricité,22,6, ,0,RC,Eté,85,2023-06-01,2023-06-04,85,0.0,3.0,3,0.0,Récurrent,0,Nuit,Impact Client,Changement de comportement
BEAUNE CENTRE VILLE,CS546,SES,DM,Electricité,23,6, ,0,RC,Eté,85,2023-06-04,2023-06-11,85,0.0,3.0,7,0.0,Récurrent,0,Nuit,Impact Client,Changement de comportement
BEAUNE CENTRE VILLE,CS546,SES,DM,Electricité,26,6, ,0,HH,Eté,85,2023-06-25,2023-07-01,90,5.0,3.0,6,90.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Eclairage
BEAUNE CENTRE VILLE,CS546,SES,DM,Electricité,24,6, ,0,HH,Eté,85,2023-06-11,2023-06-18,90,5.0,3.0,7,105.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Changement de comportement
BEAUNE CENTRE VILLE,CS546,SES,DM,Electricité,25,6, ,0,HH,Eté,85,2023-06-18,2023-06-25,95,10.0,3.0,7,210.0,Récurrent,0.11764705882352941,Nuit,Impact Client,Changement de comportement
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,22,6, ,0,RC,Eté,85,2023-06-01,2023-06-03,90,5.0,1.0,2,10.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Process
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,23,6, ,0,RC,Eté,85,2023-06-05,2023-06-06,90,5.0,1.0,1,5.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Process
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,23,6, ,0,RC,Eté,85,2023-06-06,2023-06-11,90,5.0,3.0,5,75.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Process
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,24,6, ,0,HH,Eté,85,2023-06-11,2023-06-18,90,5.0,3.0,7,105.0,Récurrent,0.058823529411764705,Nuit,Impact Client,Process
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,25,6, ,0,HH,Eté,85,2023-06-18,2023-06-25,95,10.0,3.0,7,210.0,Récurrent,0.11764705882352941,Nuit,Impact Client,Multi-usage
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,26,6, ,0,HH,Eté,85,2023-06-25,2023-07-01,95,10.0,3.0,6,180.0,Récurrent,0.11764705882352941,Nuit,Impact Client,Multi-usage
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,23,6, ,0,RC,Eté,85,2023-06-04,2023-06-05,105,20.0,3.0,1,60.0,Récurrent,0.23529411764705882,Nuit,Impact Client,Eclairage
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,22,6, ,0,RC,Eté,85,2023-06-04,2023-06-04,130,45.0,10.0,1,450.0,Récurrent,0.5294117647058824,Dim,Impact Client,Changement de comportement
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,23,6, ,0,RC,Eté,85,2023-06-11,2023-06-11,135,50.0,11.0,1,550.0,Récurrent,0.5882352941176471,Dim,Impact Client,Changement de comportement
BESANCON CHAPRAIS,CS279,SES,DM,Electricité,24,6, ,0,HH,Eté,85,2023-06-18,2023-06-18,140,55.0,11.0,1,605.0,Récurrent,0.6470588235294118,Dim,Impact Client,Changement de comportement
