Site,Code site,Branche,Chargé d'exploitation,Energie,Semaine de l'alerte,Mois de l'alerte,Date d'envoi de l'alerte au client ,Client alerté,Chargé d'analyse BO ,Période Talon ,Talon ref ,Début surconsommation ,Fin surconsommation ,Talon surconso identifié,DP Surconso (kW),Nb d'heures,Nb nuits/jours concernés,Impact conso (kWh),Type d'impact,% Surconso,Période d'alerte,Type de surconso,Catégorie
LE VESINET,MO1247,SES8,AL,Electricité,10,3, ,0,HH,Mi-saison,45,2023-03-05,2023-03-08,60,15.0,7.0,3,315.0,Récurrent,0.3333333333333333,Nuit,Impact Client,CVC
LE VESINET,MO1247,SES8,AL,Electricité,10,3, ,0,HH,Mi-saison,45,2023-03-09,2023-03-11,60,15.0,7.0,2,210.0,Récurrent,0.3333333333333333,Nuit,Impact Client,CVC
LYON GBL,MO2878,SES8,RL,Electricité,10,3, ,0,HH,Mi-saison,120,2023-03-05,2023-03-12,160,40.0,7.0,7,1960.0,Récurrent,0.3333333333333333,Nuit,Impact Client,CVC
ANGERS LES HALLES,MO0039,SES8,AL,Electricité,10,3, ,0,HH,Mi-saison,60,2023-03-12,2023-03-12,80,20.0,8.0,1,160.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
BORDEAUX ST CHRISTOLY,MO0054,SES8,RL,Electricité,10,3, ,0,HH,Mi-saison,70,2023-03-12,2023-03-12,120,50.0,8.0,1,400.0,Récurrent,0.7142857142857143,Dim,Impact Client,Changement de comportement
LE COURBE,MO1318,SES8,AL,Electricité,10,3, ,0,HH,Mi-saison,75,2023-03-12,2023-03-12,120,45.0,14.0,1,630.0,Récurrent,0.6,Dim,Impact Client,Changement de comportement
FONTENAY LE COMTE,MO2261,Monoprix,AL,Electricité,10,3, ,0,ZN,Mi-saison,15,2023-03-12,2023-03-12,20,5.0,2.0,1,10.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
MARSEILLE NOTRE DAME,MO2334,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,30,2023-03-12,2023-03-12,40,10.0,6.0,1,60.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
NARBONNE,MO0512,Monoprix,AL,Electricité,10,3, ,0,ZN,Mi-saison,30,2023-03-12,2023-03-12,40,10.0,6.0,1,60.0,Récurrent,0.3333333333333333,Dim,Impact Client,Changement de comportement
Saint Etienne,MO2385,Monoprix,RL,Electricité,10,3, ,0,ZN,Mi-saison,30,2023-03-08,2023-03-12,40,10.0,7.0,4,280.0,Récurrent,0.3333333333333333,Nuit,Impact Client,CVC
SANNOIS,MO0154,Monoprix,AL,Electricité,10,3, ,0,ZN,Mi-saison,40,2023-03-12,2023-03-12,60,20.0,6.0,1,120.0,Récurrent,0.5,Dim,Impact Client,Changement de comportement
MARSEILLE CANNEBIERE,MO0344,SES8,RL,Electricité,0,1, ,0,SB,Hiver,110,2023-01-01,2023-01-01,145,35.0,5.0,1,175.0,Récurrent,0.3181818181818182,Dim,Impact Client,CVC
ANNECY COURRIER,MO0332,SES8,RL,Electricité,1,1, ,0,SB,Hiver,110,2023-01-01,2023-01-03,145,35.0,8.0,2,560.0,Récurrent,0.3181818181818182,Nuit,Impact Client,CVC
ANNECY COURRIER,MO0332,SES8,RL,Electricité,1,1, ,0,SB,Hiver,110,2023-01-03,2023-01-04,145,35.0,6.0,1,210.0,Récurrent,0.3181818181818182,Nuit,Impact Client,CVC
ANNECY COURRIER,MO0332,SES8,RL,Electricité,1,1, ,0,SB,Hiver,110,2023-01-04,2023-01-06,145,35.0,8.0,2,560.0,Récurrent,0.3181818181818182,Nuit,Impact Client,CVC
ANNECY COURRIER,MO0332,SES8,RL,Electricité,1,1, ,0,SB,Hiver,110,2023-01-06,2023-01-07,145,35.0,6.0,1,210.0,Récurrent,0.3181818181818182,Nuit,Impact Client,CVC
ANNECY COURRIER,MO0332,SES8,RL,Electricité,1,1, ,0,SB,Hiver,110,2023-01-07,2023-01-08,145,35.0,8.0,1,280.0,Récurrent,0.3181818181818182,Nuit,Impact Client,CVC
MONTREUIL,MO0522,SES8,RL,Electricité,3,1, ,0,SB,Hiver,95,2023-01-22,2023-01-22,125,30.0,8.0,1,240.0,Récurrent,0.3157894736842105,Dim,Impact Client,Changement de comportement
BOULOGNE LES PASSAGES,MO0303,SES8,AL,Electricité,8,2, ,0,HH,Hiver,95,2023-02-21,2023-02-24,125,30.0,7.0,3,630.0,Récurrent,0.3157894736842105,Nuit,Impact Client,CVC
